Time,wfv_1,wfv_2,wfv_3
6/1/22 16:15,25.50198786,21.6280952,21.43978978
6/1/22 16:30,25.0907939,21.62959802,21.43978978
6/1/22 16:45,25.25078586,21.63110079,21.44431967
6/1/22 17:00,25.25216252,21.63410616,21.44582951
6/1/22 17:15,25.25353914,21.63560876,21.16399416
6/1/22 17:30,25.25629224,21.36270177,21.16703546
6/1/22 17:45,25.25766873,21.36421475,21.08178934
6/1/22 18:00,25.26042157,21.53028861,21.08483705
6/1/22 18:15,25.26042157,21.53179517,21.37329143
6/1/22 18:30,25.26179792,21.37026611,21.08788453
6/1/22 18:45,25.2645505,21.5348081,21.34302766
6/1/22 19:00,25.26592672,21.61607053,21.09093177
6/1/22 19:15,25.00365171,21.61607053,21.1791983
6/1/22 19:30,25.00642085,21.34151386,21.09397877
6/1/22 19:45,25.00780535,21.34302766,21.34756871
6/1/22 20:00,25.00918981,21.34302766,21.34908228
6/1/22 20:15,25.00918981,21.3445414,21.34908228
6/1/22 20:30,25.07420901,21.3445414,21.35059579
6/1/22 20:45,25.0769736,21.3445414,21.35059579
6/1/22 21:00,25.0769736,21.34605509,21.35059579
6/1/22 21:15,25.07835583,21.34605509,21.35210924
6/1/22 21:30,25.07835583,21.42619699,21.35210924
6/1/22 21:45,25.23563967,21.42619699,21.35210924
6/1/22 22:00,25.08112016,21.31274053,21.35210924
6/1/22 22:15,25.08112016,21.31274053,21.35210924
6/1/22 22:30,25.03825311,21.58749726,21.35210924
6/1/22 22:45,25.29894293,21.31122556,21.35210924
6/1/22 23:00,25.04102002,21.31122556,21.15030538
6/1/22 23:15,25.04102002,21.39143851,21.15030538
6/1/22 23:30,25.04102002,21.39143851,21.15030538
6/1/22 23:45,24.88024357,21.38992657,21.15030538
6/2/22 0:00,25.03825311,21.38992657,21.1487841
6/2/22 0:15,25.04102002,21.38992657,21.1487841
6/2/22 0:30,25.09908394,21.38841458,21.1487841
6/2/22 0:45,25.09908394,21.46394315,21.14574138
6/2/22 1:00,24.83717504,21.18983768,21.14574138
6/2/22 1:15,25.09908394,21.30213451,21.22933005
6/2/22 1:30,24.83717504,21.18831795,21.22933005
6/2/22 1:45,24.83717504,21.1852783,21.22781185
6/2/22 2:00,24.83578501,21.02078494,21.22629359
6/2/22 2:15,24.89967967,21.0192586,21.22629359
6/2/22 2:30,24.89690363,21.18375839,21.22477527
6/2/22 2:45,24.89690363,21.26271556,21.22477527
6/2/22 3:00,24.89690363,21.01620575,21.22173846
6/2/22 3:15,24.89690363,21.09854882,21.02231121
6/2/22 3:30,24.89690363,21.25968169,21.0192586
6/2/22 3:45,24.6295596,21.09550218,21.0192586
6/2/22 4:00,24.62816279,21.25816467,21.01773221
6/2/22 4:15,24.95516282,21.25664758,21.01620575
6/2/22 4:30,24.69236892,21.25513044,21.01620575
6/2/22 4:45,24.69236892,21.25513044,21.01467924
6/2/22 5:00,24.69097416,21.05739904,21.01315266
6/2/22 5:15,24.68957936,21.05587414,21.01315266
6/2/22 5:30,24.68957936,21.05434918,21.09702553
6/2/22 5:45,24.75230029,21.05434918,21.01009933
6/2/22 6:00,24.75090749,21.05282416,21.09397877
6/2/22 6:15,24.48544573,21.05282416,21.0924553
6/2/22 6:30,24.48404417,21.13204619,21.09093177
6/2/22 6:45,24.48404417,21.13052421,21.09093177
6/2/22 7:00,24.4812409,21.13052421,21.08940818
6/2/22 7:15,24.5470688,21.12748006,21.08788453
6/2/22 7:30,24.4812409,21.1259579,21.08788453
6/2/22 7:45,24.54566927,20.84792859,20.88623751
6/2/22 8:00,24.54287007,20.84639545,20.88623751
6/2/22 8:15,24.54287007,21.20351263,20.88470588
6/2/22 8:30,24.54287007,20.92756869,20.88470588
6/2/22 8:45,24.54287007,20.92603869,20.88317419
6/2/22 9:00,24.43496014,20.92603869,20.88317419
6/2/22 9:15,24.5414704,20.92603869,20.88317419
6/2/22 9:30,24.27187321,20.92450863,20.88164244
6/2/22 9:45,24.49805774,20.92450863,20.9657991
6/2/22 10:00,24.49805774,20.92450863,20.9657991
6/2/22 10:15,24.49805774,20.92450863,20.9657991
6/2/22 10:30,24.33662096,20.92450863,20.9657991
6/2/22 10:45,24.49665659,20.92450863,20.9657991
6/2/22 11:00,24.49665659,20.92450863,20.9657991
6/2/22 11:15,24.49805774,20.92450863,20.96732754
6/2/22 11:30,24.49665659,20.92450863,20.96732754
6/2/22 11:45,24.49805774,20.92603869,20.68045723
6/2/22 12:00,24.23100284,21.00704576,20.68353664
6/2/22 12:15,24.5624606,21.00704576,20.96885591
6/2/22 12:30,24.56385957,21.00857258,20.68507626
6/2/22 12:45,24.56385957,20.73277391,20.97191248
6/2/22 13:00,24.30003661,20.64656742,20.97344068
6/2/22 13:15,24.56665739,20.73431156,20.68661581
6/2/22 13:30,24.30144429,20.93215832,20.68815531
6/2/22 13:45,24.3042595,20.73584916,20.68969474
6/2/22 14:00,24.3042595,21.01467924,20.69123411
6/2/22 14:15,24.30566704,21.01620575,20.69277342
6/2/22 14:30,24.30707453,20.74046157,20.86019156
6/2/22 14:45,24.30707453,20.74199891,20.86172416
6/2/22 15:00,24.30988936,20.90767398,20.86478918
6/2/22 15:15,24.31129671,20.74507342,20.86785395
6/2/22 15:30,24.31270401,20.91073537,20.86785395
6/2/22 15:45,24.31270401,20.82952685,20.87091848
6/2/22 16:00,24.31551847,20.915327,20.95662723
6/2/22 16:15,24.31692563,20.8341281,20.87398277
6/2/22 16:30,24.21125811,20.91838778,20.87398277
6/2/22 16:45,24.11663706,20.91991808,20.87704682
6/2/22 17:00,24.2803242,20.92144832,20.5879602
6/2/22 17:15,24.12087838,20.92297851,20.58950363
6/2/22 17:30,24.28173254,20.92450863,20.68045723
6/2/22 17:45,24.28454907,21.09093177,20.88470588
6/2/22 18:00,24.12511927,20.9306285,20.88623751
6/2/22 18:15,24.28877351,20.93215832,20.85406056
6/2/22 18:30,24.29018156,20.8157198,20.85406056
